City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,pedra azul,24,BR,1523880214,80,-16.01,-41.28,72.71,5.86
345,polyarnyy,0,RU,1523878200,42,69.2,33.45,44.6,4.47
346,pachmarhi,0,IN,1523880215,25,22.47,78.44,94.67,6.64
347,jalu,0,LY,1523880215,17,29.03,21.55,98.9,4.41
348,sept-iles,20,CA,1523876400,78,50.2,-66.38,12.2,4.7
349,havoysund,75,NO,1523879400,100,71.0,24.66,37.4,5.82
350,byron bay,0,AU,1523876400,88,-28.65,153.62,68.0,5.82
351,bronnitsy,0,RU,1523878200,44,55.42,38.26,68.0,6.71
352,beringovskiy,88,RU,1523880216,94,63.05,179.32,33.11,25.21
353,esperance,40,TT,1523876400,88,10.24,-61.45,77.0,6.76
354,tenenkou,0,ML,1523880217,21,14.46,-4.91,99.89,10.89
355,mitu,36,IR,1523880217,53,36.2,46.09,50.39,5.19
356,carauari,92,BR,1523880217,99,-4.88,-66.9,72.89,3.74
357,regente feijo,0,BR,1523876400,72,-22.22,-51.3,66.2,11.41
358,bumba,8,CD,1523880218,49,2.18,22.47,92.96,5.53
359,tallahassee,20,US,1523878500,80,30.44,-84.28,44.6,4.7
360,menongue,20,AO,1523880016,66,-14.66,17.68,77.93,3.51
361,adolfo lopez mateos,0,MX,1523880218,73,26.8,-109.39,56.96,2.62
362,mehrabpur,0,PK,1523880219,16,27.1,68.42,100.16,10.67
363,betafo,24,MG,1523880219,55,-19.84,46.86,73.52,6.2
364,vila franca do campo,40,PT,1523878200,82,37.72,-25.43,62.6,28.86
365,palora,92,EC,1523880219,100,-1.7,-77.97,59.57,2.95
366,zakupne,0,UA,1523880220,73,49.12,26.33,69.92,10.0
367,lamu,100,ID,1523880220,100,0.57,122.3,72.62,2.17
368,edd,0,ER,1523880220,20,13.93,41.69,102.23,6.64
369,ayorou,0,NE,1523880220,16,14.73,0.92,100.25,11.45
370,maracaibo,75,CO,1523876400,94,3.41,-75.78,68.0,1.5
371,turtas,80,RU,1523880221,66,58.94,69.13,27.8,11.01
372,oga,0,NG,1523880221,72,8.18,5.65,90.71,8.43
373,chippewa falls,90,US,1523877540,85,44.94,-91.39,24.8,10.29
374,slave lake,90,CA,1523877480,97,55.28,-114.77,33.8,5.82
375,vrangel,0,RU,1523880222,87,42.73,133.08,39.14,5.75
376,bundaberg,0,AU,1523880222,98,-24.87,152.35,76.58,9.44
377,balikpapan,92,ID,1523880222,100,-1.24,116.86,76.4,6.76
378,sambava,68,MG,1523880222,100,-14.27,50.17,79.37,14.7
379,mareeba,75,AU,1523876400,88,-16.99,145.42,77.0,12.75
380,babati,80,TZ,1523880223,94,-4.21,35.75,68.57,3.62
381,yining,80,CN,1523880223,77,29.04,114.56,54.89,2.39
382,santa cruz de la palma,75,ES,1523878200,68,28.68,-17.76,69.8,10.29
383,normandin,90,CA,1523876400,58,48.84,-72.53,24.8,10.29
384,oistins,40,BB,1523876400,78,13.07,-59.53,78.8,19.46
385,savalou,0,BJ,1523880224,69,7.93,1.98,93.32,5.75
